,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,labels
0,0.23241590214067243,0.27470355731225293,0.7058823529411764,0.9999999999999998,0.16666666666666663,0.4256198347107437,0.3839479392624729,0.8490566037735847,0.42586750788643535,0.16427889207258833,0.3983739837398374,0.48347107438016523,0.17137648131267091,0
1,0.8654434250764522,0.12055335968379452,0.37254901960784315,0.0875912408759123,0.23809523809523803,0.7768595041322315,0.5813449023861171,0.16981132075471697,0.4542586750788644,0.5673352435530086,0.4308943089430895,0.9421487603305784,0.6991795806745671,1
2,0.7614678899082561,0.48023715415019763,0.6666666666666667,0.635036496350365,0.22619047619047616,0.18595041322314054,0.010845986984815634,0.6981132075471698,0.04416403785488962,0.2932187201528175,0.3333333333333333,0.32644628099173556,0.22060164083865086,0
3,0.4801223241590211,0.11857707509881424,0.130718954248366,0.27007299270072993,0.11904761904761896,0.14462809917355368,0.19305856832971802,0.3018867924528301,0.2965299684542587,0.11174785100286536,0.45528455284552855,0.6198347107438017,0.25888787602552416,0
4,0.5626911314984704,0.7648221343873519,0.5098039215686274,0.4890510948905109,0.09523809523809523,0.2479338842975206,0.03904555314533624,0.641509433962264,0.14195583596214512,0.6084049665711557,0.04878048780487809,0.24380165289256206,0.31631722880583407,0
5,0.4556574923547396,0.33399209486166015,0.30718954248366015,0.45255474452554734,0.11904761904761896,0.5991735537190082,0.39045553145336226,0.2452830188679245,0.2555205047318612,0.06876790830945559,0.34146341463414637,0.6239669421487603,0.042844120328167756,0
6,0.8134556574923542,0.4980237154150198,0.5490196078431373,0.3795620437956204,0.34523809523809523,0.30165289256198347,0.019522776572668127,0.6981132075471698,0.12302839116719244,0.4393505253104107,0.39024390243902435,0.2272727272727273,0.36645396536007296,0
7,0.24159021406727854,0.19367588932806326,0.11764705882352922,0.34306569343065685,0.09523809523809523,0.578512396694215,0.25379609544468545,0.4528301886792453,0.31861198738170343,0.07449856733524357,0.37398373983739835,0.48347107438016523,0.12488605287146765,0
8,0.4801223241590211,0.3399209486166008,0.3267973856209152,0.27007299270072993,0.19047619047619058,0.2148760330578513,0.04121475054229935,0.9433962264150944,0.16719242902208203,0.5558739255014327,0.20325203252032525,0.12809917355371903,0.3801276207839563,0
9,0.8409785932721707,0.39920948616600793,0.392156862745098,0.5255474452554745,0.1428571428571429,0.10330578512396693,0.045553145336225606,0.5283018867924527,0.19558359621451105,0.792741165234002,0.1788617886178862,0.16942148760330578,0.30720145852324526,0
10,0.6116207951070334,0.031620553359683806,0.006535947712418277,0.0875912408759123,0.09523809523809523,0.35123966942148754,0.3383947939262472,0.20754716981132074,0.3312302839116719,0.3170964660936007,0.5772357723577235,0.4999999999999999,0.10391978122151324,0
11,0.40978593272171215,0.0849802371541502,0.14379084967320255,0.35036496350364965,0.0,0.4173553719008264,0.3318872017353579,0.26415094339622647,0.1987381703470032,0.3247373447946514,0.5203252032520327,0.9132231404958678,0.211485870556062,0
