,A0,A1,A2,A3,A4,A5,A6,A7,labels
0,0.5581395348837214,0.4210526315789472,0.46835443037974667,0.24418604651162812,0.0,0.0,0.6712328767123287,0.2200000000000002,0
1,0.3488372093023259,0.43421052631578927,0.45569620253164544,0.29069767441860495,0.0,0.0,0.7808219178082193,0.38000000000000017,1
2,0.6395348837209305,0.5394736842105262,0.3544303797468353,0.18604651162790725,0.0,0.0,0.7397260273972603,0.36000000000000015,0
3,0.7441860465116288,0.7368421052631572,0.34177215189873394,0.1511627906976748,0.0,0.0,0.7808219178082193,0.4000000000000007,0
4,0.534883720930233,0.5921052631578946,0.46835443037974667,0.4069767441860468,0.0,0.0,0.6712328767123287,0.2200000000000002,0
5,0.4651162790697679,0.48684210526315774,0.3544303797468353,0.5232558139534892,0.0,0.0,0.6575342465753424,0.2200000000000002,0
6,0.5465116279069772,0.40789473684210514,0.30379746835443017,0.37209302325581417,0.0,0.0,0.7123287671232876,0.37000000000000016,0
7,0.4534883720930237,0.5394736842105262,0.4050632911392404,0.627906976744187,0.0,0.0,0.6986301369863014,0.27000000000000024,0
8,0.6976744186046508,0.49999999999999983,0.3544303797468353,0.26744186046511653,0.0,0.0,0.4109589041095887,0.32000000000000023,0
9,0.6627906976744187,0.48684210526315774,0.2784810126582276,0.3139534883720933,0.0,0.0,0.8356164383561641,0.2200000000000002,0
10,0.3023255813953493,0.30263157894736836,0.4430379746835442,0.20930232558139567,0.0,0.0,0.6575342465753424,0.2600000000000003,0
11,0.3139534883720936,0.2763157894736836,0.43037974683544294,0.511627906976745,0.0,0.0,0.6575342465753424,0.2600000000000003,1
12,0.4651162790697679,0.5263157894736842,0.43037974683544294,0.162790697674419,0.0,0.0,0.6986301369863014,0.2200000000000002,1
13,0.43023255813953526,0.5131578947368419,0.3544303797468353,0.4069767441860468,0.0,0.6024096385542164,0.6986301369863014,0.2200000000000002,0
14,0.4883720930232563,0.7236842105263165,0.2658227848101264,0.22093023255813987,0.0,0.0,0.726027397260274,0.2200000000000002,0
15,0.40697674418604696,0.5657894736842105,0.4430379746835442,0.29069767441860495,0.0,0.0,0.5890410958904106,0.2200000000000002,0
