,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,labels
0,0.3644711156098619,0.8087336244541485,0.3553358843537414,0.2531149053991693,0.35669468450337394,0.12911933415813745,0.04861246348588121,0.10791936645068395,0.2846108140225788,0.10994891753831193,0.11915975885455916,0.2220600592631905,0.1041064198958936,0.07872388049875575,0.3741135683143353,0.09676614049237625,0.033535353535353536,0.17626444402348931,0.1816413397276632,0.026853768458071713,0.2980967389986665,0.8026630249231819,0.28734582000913667,0.19844423302926853,0.4478264597444911,0.12523151446074943,0.06911341853035144,0.25552497050727485,0.25813382443216704,0.1292790978654852,0
1,0.31313715566481093,0.3489082969432314,0.30548469387755095,0.20496846638978616,0.3697170593109981,0.21684849848161064,0.018281402142161635,0.06110871130309576,0.2941176470588235,0.20992459255655538,0.12113790504898268,0.17451682809252134,0.115962984384037,0.07385219028558639,0.2871776015128434,0.08361178323155509,0.014727272727272728,0.10409168403106649,0.19801236493904203,0.062437261594057415,0.2841556552309371,0.49743939911232493,0.2730927364093194,0.18048016117298113,0.49498413787190254,0.17082205442370707,0.035990415335463266,0.20027526543452615,0.4033149171270718,0.3439387837293596,0
2,0.48232231942737336,0.702183406113537,0.47119472789115646,0.3594062451930472,0.20504321060731623,0.18473737487346759,0.08461538461538462,0.1250539956803456,0.38443256090314903,0.06032595475553393,0.11030519969856821,0.12126840918137191,0.14025448235974552,0.09031060316791531,0.19136418553343487,0.13958981449475746,0.04977272727272727,0.12066679295321082,0.08861539646771052,0.03259974108508886,0.3908352527579101,0.6654148173438033,0.39972590223846516,0.27673624713190437,0.26176798422361314,0.1879185069098162,0.11757188498402557,0.21875737318128194,0.2391037446286065,0.12659417371459258,0
3,0.45484780565396576,0.20742358078602624,0.4429209183673469,0.32894939240116905,0.31999526459097893,0.20487009335282869,0.050803310613437194,0.19092872570194383,0.3143196672608438,0.09754317684261737,0.09400904295403166,0.06459245499977889,0.1227588201272412,0.08194972942369222,0.16410148657876766,0.06707762030955948,0.023265151515151516,0.20382648228831218,0.04181352439282754,0.039937971187062556,0.3611346829918778,0.23284397405257762,0.36436729100045695,0.2511612289439812,0.2763439938266312,0.11779139161957229,0.05,0.32308297286669285,0.17495395948434633,0.15961874077057325,0
4,0.0949316752223266,0.3489082969432314,0.12914540816326525,0.05053068758652515,0.5570024860897361,1.0,0.4807692307692308,0.35334773218142546,0.7546048722519311,0.8654828508878614,0.3305388093443859,0.34235549069037197,0.43551185656448815,0.1145373869307035,0.4271681462415296,0.6111303145523679,0.2593434343434343,0.4786891456715287,0.48864621251516716,0.23976628429411073,0.06715965571584437,0.3724820757937862,0.1093650068524441,0.03189881918406179,0.4366800994598302,0.5501100188377579,0.3681309904153355,0.4502556036177743,0.4815837937384899,0.6751241777419786,0
5,0.32036729086833926,0.31091703056768566,0.32281037414965996,0.21265959083217967,0.45270510240322015,0.3317961984028794,0.07098344693281401,0.10993520518358532,0.2400475341651812,0.26733154950133753,0.0989073097211756,0.18291981778780242,0.1331694621168305,0.06226546761642683,0.1679886536744235,0.13834159081307373,0.035277777777777776,0.09776472816821367,0.09631940833188882,0.03142285512533836,0.2659716329252031,0.5250938886992148,0.294015532206487,0.17197380939056464,0.42553373917516935,0.31756660492947714,0.1293929712460064,0.22375147463625636,0.2578268876611419,0.2964156262585581,0
6,0.3507338587231581,0.32707423580786016,0.3391794217687074,0.23857868020304568,0.370545755889665,0.1281070745697897,0.004527750730282376,0.02105111591072714,0.37849079025549603,0.16297737776696652,0.1483609645817634,0.2183008270310911,0.1393869288606131,0.10301649791307324,0.2453117613069286,0.05526750393670546,0.004696969696969697,0.055389278272400075,0.3114539396390671,0.036857299115950946,0.2756697781549279,0.36155684533970633,0.26413887619917786,0.181319603783088,0.2797736431449884,0.06165803929018063,0.004456070287539936,0.034494691309476994,0.2882136279926336,0.1221640488656196,0
7,0.4013448051478562,0.12270742358078607,0.402529761904762,0.2791878172588832,0.36699419912394926,0.37324260488134076,0.12358812074001949,0.20619150467962563,0.33095662507427215,0.09948917538311819,0.06490203466465712,0.03715005970545311,0.1207345286292655,0.05568210246349524,0.13436991122550818,0.17742059377040365,0.0714141414141414,0.16040916840310665,0.09766761040812003,0.057556646290386225,0.32052369984240514,0.1666097644247183,0.3649154865235269,0.2146734568246684,0.38952242133241877,0.38183660223836896,0.22891373801916937,0.360715690129768,0.3591160220994476,0.24150892737280172,0
8,0.3919456293832695,0.1934497816593886,0.3974277210884354,0.2769573911705891,0.487865514383805,0.36891238330896414,0.22621713729308665,0.250755939524838,0.45276292335115864,0.24860131354901482,0.14751318764129623,0.09506434921056123,0.15355696934644303,0.10525484206506999,0.3609287177601513,0.1720436302185352,0.07694444444444444,0.18064027277893538,0.3495887983667495,0.08753262397109013,0.35264880591586856,0.27347217480368724,0.374783005938785,0.24466953942582118,0.6570350681642801,0.31392569375187984,0.24033546325878596,0.3823043649233189,0.7007366482504604,0.4177741978789099,0
9,0.5163039548839563,0.25152838427947605,0.5391156462585035,0.38740193816335944,0.7525748786551439,0.8183556405353729,0.41139240506329117,0.6424046076313895,0.6518122400475342,0.38506446120165405,0.29408440090429544,0.1296050594843218,0.3227299016772701,0.22632292722748162,0.27693439092293953,0.22446902484925302,0.07603535353535354,0.24076529645766245,0.12482425222934843,0.10155141260929462,0.5975269729664201,0.5080232161147149,0.6436729100045683,0.47842632492025283,1.0,0.665985974576942,0.3757188498402556,0.7970900511207235,0.6197053406998159,0.6885487984964423,1
