A0,A1,labels
0.20737798948735156,0.13591819151284087,0
0.15503051618877384,0.0466508165510783,0
0.10947327419933839,0.16686085400098255,0
0.07481016033846716,0.12780432664595928,0
0.19481978000990066,0.0859058621896112,0
0.07709093683661906,0.13724627312225426,0
0.10504764756134723,0.05232773964798877,0
0.09411979894422623,0.04580024314497592,0
0.20353036206843292,0.12988506648867157,0
0.18613002315675897,0.06373973543702584,0
0.18749678975712922,0.08009280173901245,0
0.01076311422702084,0.0788643525963243,0
0.12145774890480583,0.027944023710831673,0
0.12770316470778312,0.14331586552734146,0
0.1298946253655453,0.11862266233660443,0
0.017490801168206116,0.12279189712230751,0
0.13940998080116765,0.09669270280340048,0
0.20006668190234075,0.10212876489370815,0
0.11939185475233083,0.16859664463479967,0
0.06042522242202358,0.18511091300791743,0
0.0808938598356854,0.11699281419059827,0
0.12614396828387966,0.14952087007945378,0
0.09587437124216773,0.09196661771433445,0
0.17399053706534942,0.04687577066832901,0
0.1274043968734657,0.1704002872379712,0
0.201632048315178,0.10509563432415508,0
0.19158751426056916,0.09176308482702694,0
0.05354234029584155,0.19136257417789027,0
0.13727784743445984,0.13411743674782817,0
0.1374564727896962,0.09432893904852062,0
0.041865770126771604,0.20771675439923032,0
0.1611022123097462,0.030148387337963233,0
0.0738739104904599,0.1454508402937376,0
0.1780379116048297,0.038627929520913026,0
0.20031822293180324,0.1419469279207319,0
0.14263724054450785,0.031474231645220445,0
0.19895898780582577,0.13999684284672315,0
0.07010114756155034,0.202861060296393,0
0.19335245727920353,0.09385316776039997,0
0.09491036855724529,0.0544630392943972,0
0.12866171389428643,0.14880301001174537,0
0.023257412296122718,0.13011378219899064,0
0.11202978892731875,0.16609639097481774,0
0.1343674762218822,0.12897099454254493,0
0.14230056524284115,0.12689027375096643,0
0.0821773261845619,0.08831383254811132,0
0.11707076997256337,0.02496427237208429,0
0.19314949131452278,0.05918394173655285,0
0.01576718973819272,0.08924155412723647,0
0.10293743612287186,0.05071989227820478,0
0.10526705076088952,0.06299770925402488,0
0.11660030154891453,0.17123597201974786,0
0.03147068598185042,0.16426612489433728,0
0.1748540067213188,0.014648399564522924,0
0.08860475902633584,0.2138189585168915,0
0.03797007277358348,0.14487212308102396,0
0.09072719614916594,0.20630350778284862,0
0.0898044252323093,0.07463085320173082,0
0.1261397697548152,0.1533058018562875,0
0.023069834892198396,0.18588426216069628,0
0.03337815697437811,0.1864552865541681,0
0.14996335846792122,0.1076506196563709,0
0.18835304224505336,0.12911895266946932,0
0.09823824530432239,0.09515109002431141,0
0.15463806544059983,0.016470049446305153,0
0.07685208370149581,0.13778367420319185,0
0.13069187908408636,0.09656166434971764,0
0.1166272607276748,0.022525079734957015,0
0.051849478504838196,0.19421821666634378,0
0.09792834640854241,0.20697891934573326,0
0.0701624243896809,0.0893506825526316,0
0.07026039702429414,0.17564480198818347,0
0.1915562513367612,0.09326310104614566,0
0.1399870665211903,0.03816243504183315,0
0.1358404134540352,0.015649583396148577,0
0.12814562194889367,0.027286931041075387,0
0.13624034086896974,0.15134789343032354,0
0.2008756962567872,0.0847835266151977,0
0.025118916723053893,0.14650269622084233,0
0.12521665467123766,0.14065728967161603,0
0.11068954267650132,0.19289545413254686,0
0.09286659232696452,0.06318413162937185,0
0.03454458840982034,0.15134631353826017,0
0.18196760662535402,0.05564018187178194,0
0.09000495273213477,0.21577542643289374,0
0.16103156066040927,0.03664279795534357,0
0.1890432730317502,0.01627393556544856,0
0.15379356058819246,0.030604636553385293,0
0.139332829512191,0.09444555958866305,0
0.041874889861144966,0.17510798343495698,0
0.11834303437837276,0.015926970995344833,0
0.12535730331907996,0.15926840507281065,0
0.10673534690506557,0.04287139437515237,0
0.2120069968471484,0.1297482016720863,0
0.08915802473128259,0.10571998762936528,0
0.1010566997932019,0.04505067162423678,0
0.09110140606017025,0.09128467512996621,0
0.09927781361291717,0.05518583531317789,0
0.07341443486045378,0.1571734315835171,0
0.12831968475884145,0.1529946375612023,0
0.20680811195952506,0.11541642000542611,0
0.022032575782372,0.1421214470171541,0
0.07183834409745776,0.21731569322408134,0
