Path,mpts_star,true_outliers_count,predicted_outliers_count,predicted_outliers_count_adj,top_n,top_n_adj,threshold,adj_threshold
datasets/real/Classical/7_Cardiotocography/7_Cardiotocography_train.csv,7,340,1319,341,3.8794117647058823,1.0029411764705882,0.0001418305145775,0.7603890846657748
datasets/semi-synthetic/local/Classical/6_cardio/train.csv,12,66,1017,89,15.409090909090908,1.3484848484848484,0.3727240275248737,0.7597694573018966
datasets/semi-synthetic/global/Classical/6_cardio/train.csv,9,66,175,69,2.6515151515151514,1.0454545454545454,0.655856316169162,0.8296483853983622
datasets/semi-synthetic/cluster/Classical/6_cardio/train.csv,10,66,1017,11,15.409090909090908,0.16666666666666666,0.498444653921048,0.8979782918517522
datasets/semi-synthetic/local/Classical/7_Cardiotocography/train.csv,11,66,1027,92,15.56060606060606,1.393939393939394,0.3755600156880506,0.7564603850528763
datasets/semi-synthetic/global/Classical/7_Cardiotocography/train.csv,7,66,826,69,12.515151515151516,1.0454545454545454,0.5177062258300157,0.8593333503254463
datasets/semi-synthetic/cluster/Classical/7_Cardiotocography/train.csv,6,66,1252,274,18.96969696969697,4.151515151515151,0.0003287551899361,0.7806998562533742
datasets/real/Classical/6_cardio/6_cardio_train.csv,10,129,575,55,4.457364341085271,0.4263565891472868,0.3527634738652123,0.7100966335126658
datasets/semi-synthetic/global/Classical/20_letter/train.csv,7,60,419,63,6.983333333333333,1.05,0.4241552720855131,0.8042985945484822
datasets/semi-synthetic/cluster/Classical/20_letter/train.csv,62,60,125,61,2.0833333333333335,1.0166666666666666,0.3736053165389194,0.560839118106872
datasets/semi-synthetic/local/Classical/20_letter/train.csv,9,49,431,59,8.795918367346939,1.2040816326530612,0.4102115971951718,0.7390765974020923
datasets/semi-synthetic/global/Classical/40_vowels/train.csv,7,56,123,57,2.1964285714285716,1.0178571428571428,0.6122891349561415,0.7593907323235884
datasets/semi-synthetic/cluster/Classical/40_vowels/train.csv,6,56,92,19,1.6428571428571428,0.3392857142857143,0.5890940687264189,0.6840378587867548
datasets/semi-synthetic/local/Classical/40_vowels/train.csv,6,21,120,30,5.714285714285714,1.4285714285714286,0.5777025170900725,0.7091344096577511
datasets/real/Classical/20_letter/20_letter_train.csv,6,68,423,7,6.220588235294118,0.10294117647058823,0.3736695797834849,0.7710651511613597
datasets/semi-synthetic/global/Classical/12_fault/train.csv,24,50,368,63,7.36,1.26,0.3767027276114033,0.9010253368190028
datasets/semi-synthetic/cluster/Classical/12_fault/train.csv,56,50,612,252,12.24,5.04,0.6442674426859121,0.7808211009589945
datasets/semi-synthetic/local/Classical/12_fault/train.csv,7,43,575,180,13.372093023255815,4.186046511627907,0.2567210381082612,0.7848521421559412
datasets/real/Classical/47_yeast/47_yeast_train.csv,6,348,895,17,2.57183908045977,0.04885057471264368,0.3265664117183003,0.805495791993935
datasets/real/Classical/40_vowels/40_vowels_train.csv,6,40,339,83,8.475,2.075,0.3724857167314819,0.6090438183236198
datasets/semi-synthetic/local/Classical/47_yeast/train.csv,6,39,122,44,3.128205128205128,1.1282051282051282,0.6217529152197536,0.789741471835148
datasets/semi-synthetic/global/Classical/47_yeast/train.csv,7,39,104,42,2.6666666666666665,1.0769230769230769,0.6649503245190502,0.8179960913141966
datasets/semi-synthetic/cluster/Classical/47_yeast/train.csv,6,39,196,70,5.0256410256410255,1.794871794871795,0.5551847161832574,0.7242793490462577
datasets/synthetic/clumps/anisotropic_1.csv,27,19,176,69,9.263157894736842,3.6315789473684212,0.3216148200599072,0.6998703283541404
datasets/synthetic/clumps/banana_1.csv,66,19,159,35,8.368421052631579,1.8421052631578947,0.1841874926647765,0.4883976782832208
datasets/synthetic/clumps/circular_1.csv,61,19,363,18,19.105263157894736,0.9473684210526315,0.1649335152031978,0.7548171140345253
datasets/synthetic/global/anisotropic_1.csv,6,19,648,88,34.10526315789474,4.631578947368421,0.0,0.7003567881142365
datasets/synthetic/global/banana_1.csv,7,19,316,93,16.63157894736842,4.894736842105263,0.1045908930004404,0.6430111657778722
datasets/synthetic/global/circular_1.csv,61,19,352,18,18.526315789473685,0.9473684210526315,0.1782843763857438,0.7443018965924044
datasets/synthetic/local/banana_4.csv,6,13,363,98,27.923076923076923,7.538461538461538,0.0108434334071011,0.6500946048792219
datasets/synthetic/local/circular_7.csv,56,13,29,5,2.230769230769231,0.38461538461538464,0.6400556766421446,0.7345702916030108
datasets/synthetic/local/anisotropic_8.csv,4,13,642,115,49.38461538461539,8.846153846153847,0.0,0.7074057865819618
datasets/real/Classical/7_Cardiotocography/7_Cardiotocography_test.csv,6,126,563,11,4.468253968253968,0.0873015873015873,2.15820751247e-05,0.7822964361818373
datasets/real/Classical/6_cardio/6_cardio_test.csv,7,47,42,12,0.8936170212765957,0.2553191489361702,0.6560022312236253,0.7497570478504675
datasets/real/Classical/29_Pima/29_Pima_train.csv,5,194,57,14,0.29381443298969073,0.07216494845360824,0.6032456711072846,0.7181200479691264
datasets/semi-synthetic/global/NLP_by_BERT/20news_3/train.csv,6,23,46,8,2.0,0.34782608695652173,0.4323643348854943,0.55663706727479
datasets/semi-synthetic/cluster/NLP_by_BERT/20news_3/train.csv,7,23,43,8,1.8695652173913044,0.34782608695652173,0.4328190354927351,0.5669435454266737
datasets/semi-synthetic/local/NLP_by_BERT/20news_3/train.csv,7,18,57,23,3.1666666666666665,1.2777777777777777,0.5000104086237867,0.7004237979410081
datasets/real/Classical/20_letter/20_letter_test.csv,6,32,128,19,4.0,0.59375,0.3407125631335057,0.5194829702457086
datasets/real/Classical/4_breastw/4_breastw_train.csv,21,164,349,95,2.1280487804878048,0.5792682926829268,3e-16,0.8639172365120457
datasets/real/Classical/47_yeast/47_yeast_test.csv,7,159,48,17,0.3018867924528302,0.1069182389937107,0.5778275069730394,0.7358806984799418
datasets/real/Classical/40_vowels/40_vowels_test.csv,6,10,213,26,21.3,2.6,0.2488866341599849,0.5721066247982467
datasets/real/NLP_by_BERT/20news_3/20news_3_train.csv,5,23,40,7,1.7391304347826086,0.30434782608695654,0.4784043754612519,0.6113631061270837
datasets/semi-synthetic/global/Classical/29_Pima/train.csv,5,20,73,23,3.65,1.15,0.5976705903965057,0.804699748440168
datasets/semi-synthetic/cluster/Classical/29_Pima/train.csv,6,20,47,13,2.35,0.65,0.5922148847924119,0.7267710377181485
datasets/semi-synthetic/local/Classical/29_Pima/train.csv,6,18,75,22,4.166666666666667,1.2222222222222223,0.5827810344767187,0.7595994629374234
datasets/semi-synthetic/local/Classical/4_breastw/train.csv,59,18,175,49,9.722222222222221,2.7222222222222223,0.1808513130918819,0.695726908014686
datasets/semi-synthetic/global/Classical/4_breastw/train.csv,59,18,310,9,17.22222222222222,0.5,0.3536576739410156,0.9709449397550282
datasets/semi-synthetic/cluster/Classical/4_breastw/train.csv,60,18,250,61,13.88888888888889,3.388888888888889,4e-16,0.7383985299381114
datasets/semi-synthetic/local/Classical/6_cardio/test.csv,7,17,56,21,3.2941176470588234,1.2352941176470589,0.5346589362476553,0.7126233840013869
datasets/semi-synthetic/global/Classical/6_cardio/test.csv,9,17,43,18,2.5294117647058822,1.0588235294117647,0.562069402434823,0.720474606084342
datasets/semi-synthetic/cluster/Classical/6_cardio/test.csv,6,17,55,17,3.235294117647059,1.0,0.5418989066148495,0.7128826623537843
datasets/semi-synthetic/local/Classical/7_Cardiotocography/test.csv,6,16,47,19,2.9375,1.1875,0.5872477541232634,0.7413728810760664
datasets/semi-synthetic/global/Classical/7_Cardiotocography/test.csv,6,16,39,17,2.4375,1.0625,0.6483820738051174,0.8020897058484832
datasets/semi-synthetic/cluster/Classical/7_Cardiotocography/test.csv,8,16,39,4,2.4375,0.25,0.5787385895855566,0.7179572592882648
datasets/semi-synthetic/global/Classical/20_letter/test.csv,9,15,134,16,8.933333333333334,1.0666666666666667,0.209528408807772,0.5922624985225161
datasets/semi-synthetic/cluster/Classical/20_letter/test.csv,17,15,34,16,2.2666666666666666,1.0666666666666667,0.3635167180793789,0.47808720094826
datasets/semi-synthetic/local/Classical/20_letter/test.csv,8,12,110,18,9.166666666666666,1.5,0.258830320029459,0.5363321324269283
datasets/semi-synthetic/global/Classical/43_WDBC/train.csv,6,14,65,20,4.642857142857143,1.4285714285714286,0.4902087542516842,0.7130025197324392
datasets/semi-synthetic/cluster/Classical/43_WDBC/train.csv,5,14,73,17,5.214285714285714,1.2142857142857142,0.4511155594351432,0.6754462537557524
datasets/semi-synthetic/global/Classical/40_vowels/test.csv,7,14,33,15,2.357142857142857,1.0714285714285714,0.5431638086650583,0.7025964069928554
datasets/semi-synthetic/cluster/Classical/40_vowels/test.csv,7,14,33,15,2.357142857142857,1.0714285714285714,0.5049621241870328,0.6335989833786343
datasets/semi-synthetic/local/Classical/43_WDBC/train.csv,5,2,48,14,24.0,7.0,0.461083306528722,0.6271481151799135
datasets/semi-synthetic/local/Classical/40_vowels/test.csv,7,5,27,9,5.4,1.8,0.4807288562985636,0.6045436855432794
datasets/real/CV_by_ViT/MVTec-AD_zipper/MVTec-AD_zipper_train.csv,5,90,57,15,0.6333333333333333,0.16666666666666666,0.2852599572562072,0.4370431013027703
datasets/semi-synthetic/global/Classical/12_fault/test.csv,41,13,112,17,8.615384615384615,1.3076923076923077,0.1407866291926185,0.5295769274787818
datasets/semi-synthetic/cluster/Classical/12_fault/test.csv,36,13,34,15,2.6153846153846154,1.1538461538461537,0.5353119959104609,0.7083160073724831
datasets/semi-synthetic/local/Classical/12_fault/test.csv,58,11,57,13,5.181818181818182,1.1818181818181819,0.1569027954041464,0.3631842292641392
datasets/semi-synthetic/global/Classical/37_Stamps/train.csv,6,12,48,15,4.0,1.25,0.6458924108412756,0.8516640774490464
datasets/semi-synthetic/cluster/Classical/37_Stamps/train.csv,6,12,35,6,2.9166666666666665,0.5,0.6918114910145111,0.8821515094787894
datasets/semi-synthetic/local/Classical/37_Stamps/train.csv,7,11,166,3,15.090909090909092,0.2727272727272727,0.4458108683085732,0.9006397076213692
datasets/real/Classical/43_WDBC/43_WDBC_train.csv,5,7,32,12,4.571428571428571,1.7142857142857142,0.5744443562196093,0.6969370029574462
datasets/real/Classical/37_Stamps/37_Stamps_train.csv,6,20,45,9,2.25,0.45,0.6168357175219611,0.8106696884283825
datasets/real/Classical/29_Pima/29_Pima_test.csv,7,74,56,11,0.7567567567567568,0.14864864864864866,0.5031782099396566,0.6712208161851965
datasets/semi-synthetic/global/CV_by_ViT/MVTec-AD_zipper/train.csv,13,11,28,12,2.5454545454545454,1.0909090909090908,0.3074437440212498,0.5084748463960556
datasets/semi-synthetic/cluster/CV_by_ViT/MVTec-AD_zipper/train.csv,13,11,36,12,3.272727272727273,1.0909090909090908,0.2790585423288129,0.5192007711085438
datasets/semi-synthetic/local/CV_by_ViT/MVTec-AD_zipper/train.csv,6,2,18,6,9.0,3.0,0.3129186944073234,0.4105523965806451
datasets/semi-synthetic/local/Classical/47_yeast/test.csv,7,10,52,19,5.2,1.9,0.5047184436146813,0.7628266973310195
