,A0,A1,A2,A3,A4,A5,A6,A7,A8,labels
0,0.7777777777777777,0.5555555555555556,0.3333333333333333,0.2222222222222222,0.4444444444444445,0.8888888888888888,0.2222222222222222,0.0,0.0,1
1,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0
2,0.7777777777777777,1.0,0.7777777777777777,0.7777777777777777,0.3333333333333333,0.7777777777777777,0.6666666666666665,0.6666666666666665,0.0,1
3,0.4444444444444445,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.0,0
4,0.7777777777777777,0.3333333333333333,0.3333333333333333,0.4444444444444445,0.3333333333333333,0.6666666666666665,0.6666666666666665,0.7777777777777777,0.1111111111111111,0
5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5555555555555556,0.4444444444444445,0.6666666666666665,0.2222222222222222,0.0,0
6,1.0,1.0,1.0,0.6666666666666665,1.0,1.0,0.7777777777777777,0.1111111111111111,0.0,1
7,0.2222222222222222,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0
8,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0
10,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0
11,0.5555555555555556,0.5555555555555556,0.6666666666666665,1.0,0.2222222222222222,1.0,0.7777777777777777,1.0,0.1111111111111111,1
12,0.8888888888888888,0.6666666666666665,0.6666666666666665,0.4444444444444445,0.4444444444444445,1.0,0.6666666666666665,0.7777777777777777,0.2222222222222222,1
13,0.0,0.1111111111111111,0.0,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0
14,0.4444444444444445,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.0,0.0,0.0,0
15,0.8888888888888888,1.0,1.0,1.0,1.0,0.4444444444444445,1.0,1.0,1.0,1
16,1.0,1.0,1.0,0.5555555555555556,0.7777777777777777,0.3333333333333333,0.7777777777777777,0.4444444444444445,0.0,1
17,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0
18,0.2222222222222222,0.0,0.0,0.0,0.2222222222222222,0.0,0.1111111111111111,0.0,0.0,0
19,0.4444444444444445,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.5555555555555556,1.0,0.2222222222222222,0.0,0.0,1
20,0.7777777777777777,0.6666666666666665,0.5555555555555556,0.3333333333333333,0.3333333333333333,1.0,0.4444444444444445,0.0,0.0,1
21,0.0,0.0,0.0,0.2222222222222222,0.1111111111111111,0.0,0.0,0.0,0.0,0
22,0.7777777777777777,1.0,0.4444444444444445,0.2222222222222222,0.7777777777777777,0.3333333333333333,0.3333333333333333,1.0,0.2222222222222222,1
23,0.3333333333333333,0.0,0.0,0.0,0.1111111111111111,0.0,0.2222222222222222,0.0,0.0,0
24,0.6666666666666665,0.4444444444444445,0.5555555555555556,1.0,0.4444444444444445,1.0,0.6666666666666665,0.8888888888888888,0.3333333333333333,1
25,1.0,0.3333333333333333,0.2222222222222222,1.0,0.3333333333333333,1.0,1.0,0.0,0.0,1
26,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0
27,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0
28,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.2222222222222222,0.0,0.0,0
29,0.8888888888888888,0.7777777777777777,0.7777777777777777,0.8888888888888888,0.5555555555555556,0.2222222222222222,0.3333333333333333,0.0,0.0,1
30,0.3333333333333333,0.0,0.0,0.0,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.0,0.0,0
31,0.8888888888888888,0.5555555555555556,0.8888888888888888,0.1111111111111111,1.0,0.5555555555555556,0.1111111111111111,0.8888888888888888,1.0,1
32,0.0,0.1111111111111111,0.0,0.2222222222222222,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0
33,0.4444444444444445,0.2222222222222222,0.1111111111111111,0.7777777777777777,0.4444444444444445,1.0,0.7777777777777777,0.0,0.1111111111111111,1
34,0.2222222222222222,0.0,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0
35,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0
36,0.2222222222222222,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0
38,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0
39,1.0,1.0,1.0,0.7777777777777777,0.1111111111111111,1.0,0.3333333333333333,0.0,0.0,1
40,0.4444444444444445,0.0,0.0,0.0,0.1111111111111111,0.0,0.2222222222222222,0.0,0.0,0
41,0.3333333333333333,0.0,0.0,0.2222222222222222,0.1111111111111111,0.0,0.2222222222222222,0.0,0.0,0
42,0.4444444444444445,1.0,1.0,0.2222222222222222,0.7777777777777777,0.0,0.4444444444444445,1.0,0.2222222222222222,1
43,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0
44,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0
45,1.0,0.7777777777777777,0.7777777777777777,0.1111111111111111,0.7777777777777777,1.0,0.3333333333333333,0.7777777777777777,1.0,1
46,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.2222222222222222,0.0,0.0,0
47,0.3333333333333333,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0
48,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.2222222222222222,0.0,0.0,0
49,0.1111111111111111,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.2222222222222222,0.0,0.0,0
50,0.5555555555555556,0.0,0.0,0.0,0.1111111111111111,0.0,0.2222222222222222,0.0,0.0,0
51,0.5555555555555556,0.4444444444444445,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.8888888888888888,0.6666666666666665,0.7777777777777777,0.2222222222222222,1
52,0.4444444444444445,0.0,0.1111111111111111,1.0,0.3333333333333333,0.4444444444444445,0.1111111111111111,0.0,0.0,0
53,0.3333333333333333,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0
54,1.0,1.0,1.0,0.2222222222222222,1.0,1.0,0.8888888888888888,1.0,0.0,1
55,0.4444444444444445,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0
56,1.0,1.0,1.0,1.0,1.0,0.0,0.7777777777777777,0.7777777777777777,0.7777777777777777,1
57,0.0,0.2222222222222222,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.4444444444444445,0.2222222222222222,0.1111111111111111,0
58,0.5555555555555556,0.0,0.2222222222222222,0.0,0.1111111111111111,0.0,0.2222222222222222,0.0,0.0,0
59,0.7777777777777777,0.6666666666666665,0.7777777777777777,0.4444444444444445,1.0,1.0,0.6666666666666665,0.1111111111111111,0.0,1
60,0.5555555555555556,1.0,1.0,1.0,0.3333333333333333,1.0,0.6666666666666665,1.0,0.0,1
61,0.8888888888888888,1.0,1.0,0.0,1.0,0.7777777777777777,0.2222222222222222,0.2222222222222222,0.0,1
62,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0
63,0.0,0.2222222222222222,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.0,0
64,0.2222222222222222,0.0,0.0,0.0,0.1111111111111111,0.0,0.2222222222222222,0.0,0.0,0
65,0.0,0.1111111111111111,0.2222222222222222,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0
