A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,labels
0.13070694958602724,0.5326536567516065,0.15560953770938726,0.17370624735553045,0.04320853580640299,-0.02105911207918723,0.11063723154090754,0.19625742077061537,0.2072199651808212,0.27904853046161204,0.013016284067946526,0.009061434656503942,0.08794885672419142,0
0.12859023785184054,0.469567281511718,0.18243876834893677,0.16446655334725754,0.08209621803216566,0.12284482046192549,0.16130756610941205,0.2544077676656125,0.31910843608386863,0.43184465526088106,0.009762213050959895,0.05587884704844098,0.1296764164838443,0
0.0883727149022937,0.4544814091717446,0.17886153759699683,0.20142532938034916,0.18579670396753284,0.054402706204567,0.21921651990198865,0.1526446605993675,0.26570712042559597,0.4463435576140964,0.009762213050959895,0.009061434656503942,0.17461378853270124,0
0.10953983224416042,0.30156552136201487,0.228942768124156,0.2199047173968949,0.08209621803216566,0.2632389009898404,0.18922795454511862,0.28348294111311106,0.411925008537533,0.5337087384603938,0.009762213050959895,0.0770221945802835,0.21955116058155813,0
0.08361011350037373,0.30156552136201487,0.22178830662027613,0.35850012752098837,0.2981388970641806,0.38608372145176584,0.3743297889892474,0.05815034689499714,0.3699668319488902,0.22142468777575625,0.2505634683079707,0.3367833214000633,0.45386745769345505,0
-0.020108761474773362,0.2905939778420342,0.1502436915814774,0.20142532938034916,0.06481280370960446,0.23866993689745528,0.29987541982736315,0.28348294111311106,0.37632413143201787,0.16751851235995574,0.380726308987436,0.2416382575067719,0.08281315706146494,0
0.011112736604479978,0.32350860840197604,0.16455261458923706,0.1367474713224389,0.12098390025792832,0.3369457932669957,0.30918221597259865,0.029075173447498576,0.29240777825473235,0.21770702050570107,0.2017524030531712,0.25523040949152775,0.0430114846753345,0
0.9644524597421787,0.7568261802249089,0.49391069128590315,0.8045637788216572,0.9681091485665098,0.768582219524719,0.6102778011774227,0.10961670746965525,0.061101314667772445,0.04825311881349405,0.6017557630207199,0.6991196391447122,0.37332752322081775,1
0.12541517025056048,0.37630916159188277,0.168129845341177,0.210665023388622,0.08641707161280598,0.043873150164973396,0.14579623920068618,0.20352621413249,0.25172106156271506,0.4530353587001958,0.052065136271786105,0.061919803486110286,0.2163413482923541,0
0.0820225796997337,0.4236239430217992,0.1770729222210269,0.14598716533071174,0.15555072890305072,0.05089285419136913,0.14786441612184964,0.19625742077061537,0.24027792249308522,0.2931756660878218,0.04555699423781287,0.07249147725203156,0.25485909576280286,0
0.07673080036426694,0.27962243432205364,0.17170707609311694,0.1367474713224389,0.22468438619329556,0.07195196627055636,0.2047392814538445,0.05815034689499714,0.24027792249308522,0.24930719230117032,0.07158956237370592,0.003020478218834638,0.2259707851599663,0
0.09313531630421368,0.5429394788015883,0.17170707609311694,0.210665023388622,0.09937963235472685,0.11231526442233189,0.14062579689777754,0.34890208136998285,0.3178369761872431,0.3905785485632683,0.01952442610191979,0.031715021297763796,0.2869572186548436,0
0.987115817365643,0.08024648443278545,0.9390979632805994,0.5260041451696608,0.4226337975225639,0.5725533748293836,0.0025265256749430337,0.19020069286170588,0.3168826233137483,0.736263942613733,0.32949854485745145,0.2351306061744248,0.1866447578388253,1
0.03545492154762686,0.2645365619820803,0.2056907682365464,0.24762379942171361,0.034566828645122394,0.15794334059390422,0.23886420065304143,0.19625742077061537,0.29876507773786,0.17867151417012136,0.2505634683079707,0.21898467086551202,0.2259707851599663,0
0.002645889667733381,0.443509865651764,0.08227630729461857,0.16446655334725754,0.15987158248369104,0.36502460937257875,0.3422730467112139,0.07995672698062108,0.5759433352022276,0.20469518506050782,0.06833549135671926,0.23257682285026796,0.18231733802679098,0
0.03122149807925345,0.2905939778420342,0.18959322985281665,0.210665023388622,0.06913365729024479,0.06142241023096276,0.2047392814538445,0.2689453543893618,0.32800865536024737,0.23071885595089428,0.16595762186631827,0.20841299709959074,0.1104175427486199,0
0.010583558670933413,0.27962243432205364,0.23967446037997583,0.17370624735553045,0.10370048593536718,0.28780786508222556,0.37743205437099253,0.11630069378999426,0.4373542064700438,0.1954010168853698,0.13667098271343855,0.3005375827740475,0.258068908052007,0
0.048684369886293544,0.25493646140209725,0.10552830718222814,0.07761342966949233,0.2851763363222597,0.14039408052791483,0.26678458908874797,0.15991345396124212,0.4716836236789333,0.22328352141078386,0.16921169288330487,0.1570648673794017,0.30300628010086383,0
0.1550491345291739,0.30225124283201366,0.23967446037997583,0.26610318743825945,0.12098390025792832,0.29833742112181905,0.21094381221733483,0.29075173447498576,0.46405486429918014,0.580179579336084,0.009762213050959895,0.10420649854979538,0.2452296588951907,0
0.020108761474773362,0.3331087089819591,0.2539833833877355,0.3307810454961697,0.09505877877408658,0.18075737867969036,0.30711403905143525,0.3270957012843589,0.34453763401637943,0.20841285233056303,0.13992505373042516,0.17669797580182692,0.12068894207407291,0
0.03122149807925345,0.2501364111121057,0.11447138406207799,0.15522685933898464,0.06913365729024479,0.23165023287105949,0.30918221597259865,0.12356948715186893,0.3025794574277366,0.189824515980287,0.27334196542687705,0.27939423524220497,0.0,0
